SatisID,Tarih,NoktaID,UrunID,SorumluID,Miktar,Toplam_KG,Currency
232,2024-01-25,8013,3002,108,2,2.0,EUR
233,2024-01-25,8014,4001,105,4,6.0,TRY
234,2024-01-25,8056,3002,105,7,7.0,TRY
235,2024-01-26,8048,2005,105,8,8.0,TRY
236,2024-01-26,8048,4001,105,10,15.0,TRY
237,2024-01-26,8032,2003,112,1,0.5,TRY
238,2024-01-26,8019,4001,103,10,15.0,TRY
239,2024-01-26,8013,4001,108,7,10.5,EUR
240,2024-01-26,8019,3002,103,1,1.0,TRY
241,2024-01-26,8060,4004,104,9,5.4,TRY
242,2024-01-26,8001,4004,106,4,2.4,TRY
243,2024-01-26,8016,4004,105,9,5.4,TRY
244,2024-01-26,8037,2004,102,7,1.75,TRY
245,2024-01-26,8015,3002,105,9,9.0,TRY
246,2024-01-27,8040,3003,105,10,10.0,TRY
247,2024-01-27,8008,2005,109,3,3.0,AED
248,2024-01-27,8050,4001,102,2,3.0,TRY
249,2024-01-27,8033,3002,106,6,6.0,TRY
250,2024-01-27,8040,2007,105,9,2.25,TRY
251,2024-01-27,8060,3001,104,1,0.5,TRY
252,2024-01-27,8032,4003,112,8,6.4,TRY
253,2024-01-28,8029,4003,106,5,4.0,TRY
254,2024-01-28,8038,2002,110,7,1.75,TRY
255,2024-01-28,8042,4003,109,3,2.4,AED
256,2024-01-28,8048,2007,105,8,2.0,TRY
257,2024-01-28,8019,3001,112,2,1.0,TRY
258,2024-01-28,8051,2001,102,6,1.5,TRY
259,2024-01-28,8042,4004,109,5,3.0,AED
260,2024-01-28,8055,2007,112,5,1.25,TRY
261,2024-01-28,8012,4001,104,9,13.5,TRY
262,2024-01-29,8014,4003,105,10,8.0,TRY
263,2024-01-29,8008,2007,109,8,2.0,AED
264,2024-01-29,8048,4003,105,5,4.0,TRY
265,2024-01-29,8059,2004,107,4,1.0,TRY
266,2024-01-29,8003,2005,104,3,3.0,TRY
267,2024-01-29,8055,2004,112,9,2.25,TRY
268,2024-01-29,8019,4004,103,1,0.6,TRY
269,2024-01-29,8024,2007,111,6,1.5,TRY
270,2024-01-29,8056,2001,105,2,0.5,TRY
271,2024-01-29,8014,2001,105,1,0.25,TRY
272,2024-01-29,8015,4005,107,9,2.7,TRY
273,2024-01-29,8038,2007,105,8,2.0,TRY
274,2024-01-29,8012,2004,104,4,1.0,TRY
275,2024-01-29,8053,4002,104,5,15.0,TRY
276,2024-01-29,8045,2003,105,6,3.0,TRY
277,2024-01-30,8008,3003,109,3,3.0,AED
278,2024-01-30,8037,2001,102,7,1.75,TRY
279,2024-01-30,8059,2007,110,2,0.5,TRY
280,2024-01-30,8027,2007,105,8,2.0,TRY
281,2024-01-30,8059,2004,101,2,0.5,TRY
282,2024-01-30,8039,4001,111,6,9.0,TRY
283,2024-01-30,8034,2006,105,8,2.0,TRY
284,2024-01-30,8027,4002,105,10,30.0,TRY
285,2024-01-30,8012,4004,104,9,5.4,TRY
286,2024-01-30,8018,4001,106,1,1.5,TRY
287,2024-01-30,8026,3002,111,8,8.0,TRY
288,2024-01-30,8002,4002,105,1,3.0,TRY
289,2024-01-31,8054,4002,110,5,15.0,USD
290,2024-01-31,8049,4004,101,7,4.2,TRY
291,2024-01-31,8026,2005,101,4,4.0,TRY
292,2024-01-31,8045,4003,105,10,8.0,TRY
293,2024-01-31,8048,4001,105,1,1.5,TRY
294,2024-01-31,8023,3003,101,8,8.0,TRY
295,2024-01-31,8059,4004,111,10,6.0,TRY
296,2024-01-31,8015,2007,105,1,0.25,TRY
297,2024-01-31,8045,2007,105,7,1.75,TRY
298,2024-01-31,8001,2005,106,6,6.0,TRY
299,2024-01-31,8019,4003,112,10,8.0,TRY
300,2024-01-31,8023,4004,101,1,0.6,TRY
301,2024-01-31,8044,3002,108,2,2.0,EUR
302,2024-02-01,8033,2001,106,4,1.0,TRY
303,2024-02-01,8050,2006,101,3,0.75,TRY
304,2024-02-01,8038,3001,108,3,1.5,TRY
305,2024-02-01,8053,2003,104,8,4.0,TRY
306,2024-02-01,8018,4002,106,9,27.0,TRY
307,2024-02-01,8013,3002,108,1,1.0,EUR
308,2024-02-01,8033,2003,106,4,2.0,TRY
309,2024-02-01,8031,4005,111,3,0.9,TRY
310,2024-02-01,8012,2003,104,10,5.0,TRY
311,2024-02-01,8054,4001,110,10,15.0,USD
312,2024-02-01,8003,2005,104,9,9.0,TRY
313,2024-02-01,8035,2005,112,2,2.0,TRY
314,2024-02-02,8015,4001,111,1,1.5,TRY
315,2024-02-02,8005,3003,112,1,1.0,TRY
316,2024-02-02,8012,2007,104,3,0.75,TRY
317,2024-02-02,8017,4003,101,7,5.6,TRY
318,2024-02-02,8028,4004,101,9,5.4,TRY
319,2024-02-02,8060,2007,104,2,0.5,TRY
320,2024-02-02,8039,2004,102,8,2.0,TRY
321,2024-02-02,8011,2007,109,7,1.75,AED
322,2024-02-02,8014,3002,105,6,6.0,TRY
323,2024-02-02,8058,2005,106,1,1.0,TRY
324,2024-02-02,8023,3002,102,3,3.0,TRY
325,2024-02-02,8053,2004,104,7,1.75,TRY
326,2024-02-02,8037,2001,102,3,0.75,TRY
327,2024-02-03,8012,4005,104,2,0.6,TRY
328,2024-02-03,8023,3003,111,5,5.0,TRY
329,2024-02-03,8028,3003,101,6,6.0,TRY
330,2024-02-03,8009,4001,104,3,4.5,TRY
331,2024-02-03,8011,3002,109,5,5.0,AED
332,2024-02-03,8045,4002,105,6,18.0,TRY
333,2024-02-03,8021,2003,103,4,2.0,TRY
334,2024-02-03,8006,2002,107,6,1.5,TRY
335,2024-02-03,8018,4005,106,1,0.3,TRY
336,2024-02-03,8055,2001,112,5,1.25,TRY
337,2024-02-04,8037,3001,101,7,3.5,TRY
338,2024-02-04,8001,4004,106,8,4.8,TRY
339,2024-02-04,8052,2002,102,1,0.25,TRY
340,2024-02-04,8050,3003,102,9,9.0,TRY
341,2024-02-04,8047,2003,103,6,3.0,TRY
342,2024-02-04,8045,2003,105,2,1.0,TRY
343,2024-02-04,8042,4001,109,6,9.0,AED
344,2024-02-04,8008,4001,109,10,15.0,AED
345,2024-02-04,8038,2007,110,5,1.25,TRY
346,2024-02-04,8060,3002,104,3,3.0,TRY
347,2024-02-04,8039,2005,111,1,1.0,TRY
348,2024-02-04,8026,3003,102,5,5.0,TRY
349,2024-02-04,8025,2001,111,5,1.25,TRY
350,2024-02-04,8031,2001,101,3,0.75,TRY
351,2024-02-04,8056,4001,105,9,13.5,TRY
352,2024-02-05,8055,2003,103,4,2.0,TRY
353,2024-02-05,8019,2004,112,3,0.75,TRY
354,2024-02-05,8015,2006,108,9,2.25,TRY
355,2024-02-05,8001,2001,106,7,1.75,TRY
356,2024-02-05,8055,2007,112,9,2.25,TRY
357,2024-02-06,8018,3001,106,3,1.5,TRY
358,2024-02-06,8029,2003,106,10,5.0,TRY
359,2024-02-06,8001,2007,106,10,2.5,TRY
360,2024-02-06,8008,4001,109,10,15.0,AED
361,2024-02-06,8032,4005,103,6,1.8,TRY
362,2024-02-06,8044,2006,108,6,1.5,EUR
363,2024-02-06,8035,3001,112,9,4.5,TRY
364,2024-02-07,8041,3002,105,6,6.0,TRY
365,2024-02-07,8025,4003,102,3,2.4,TRY
366,2024-02-07,8006,3001,101,5,2.5,TRY
367,2024-02-07,8060,2003,104,4,2.0,TRY
368,2024-02-07,8045,2007,105,9,2.25,TRY
369,2024-02-07,8032,2004,112,10,2.5,TRY
370,2024-02-07,8045,4002,105,9,27.0,TRY
371,2024-02-07,8059,4004,104,8,4.8,TRY
372,2024-02-08,8055,2002,103,5,1.25,TRY
373,2024-02-08,8051,4002,111,9,27.0,TRY
374,2024-02-08,8034,4002,105,3,9.0,TRY
375,2024-02-08,8030,2004,103,10,2.5,TRY
376,2024-02-08,8053,2001,104,6,1.5,TRY
377,2024-02-08,8022,4003,112,4,3.2,TRY
378,2024-02-08,8021,3002,103,9,9.0,TRY
379,2024-02-08,8041,2003,111,6,3.0,TRY
380,2024-02-08,8026,2001,102,7,1.75,TRY
381,2024-02-08,8027,2001,105,3,0.75,TRY
382,2024-02-08,8006,4001,110,2,3.0,TRY
383,2024-02-08,8058,4002,106,3,9.0,TRY
384,2024-02-08,8016,4004,105,2,1.2,TRY
385,2024-02-08,8042,2005,109,3,3.0,AED
386,2024-02-09,8011,2003,109,8,4.0,AED
387,2024-02-09,8031,2002,111,6,1.5,TRY
388,2024-02-09,8014,3003,105,3,3.0,TRY
389,2024-02-09,8009,2001,104,3,0.75,TRY
390,2024-02-09,8060,3001,104,6,3.0,TRY
391,2024-02-10,8034,2001,105,9,2.25,TRY
392,2024-02-10,8034,4003,105,8,6.4,TRY
393,2024-02-10,8022,3002,103,7,7.0,TRY
394,2024-02-10,8021,4003,112,10,8.0,TRY
395,2024-02-10,8013,2002,108,7,1.75,EUR
396,2024-02-10,8050,4001,102,1,1.5,TRY
397,2024-02-10,8057,3002,103,8,8.0,TRY
398,2024-02-10,8027,2001,105,3,0.75,TRY
399,2024-02-10,8056,2006,105,6,1.5,TRY
400,2024-02-10,8008,4001,109,9,13.5,AED
401,2024-02-10,8021,4001,112,10,15.0,TRY
402,2024-02-10,8045,4001,105,5,7.5,TRY
403,2024-02-10,8044,2001,108,10,2.5,EUR
404,2024-02-11,8042,2002,109,7,1.75,AED
405,2024-02-11,8024,2004,102,8,2.0,TRY
406,2024-02-11,8036,2005,101,1,1.0,TRY
407,2024-02-11,8045,2002,105,8,2.0,TRY
408,2024-02-11,8047,2005,112,3,3.0,TRY
409,2024-02-12,8022,3001,112,5,2.5,TRY
410,2024-02-12,8058,3001,106,3,1.5,TRY
411,2024-02-12,8048,4003,105,7,5.6,TRY
412,2024-02-12,8053,4002,104,3,9.0,TRY
413,2024-02-12,8053,4004,104,7,4.2,TRY
414,2024-02-12,8023,2003,101,9,4.5,TRY
415,2024-02-12,8009,3002,104,7,7.0,TRY
416,2024-02-12,8018,4004,106,4,2.4,TRY
417,2024-02-13,8034,2004,105,2,0.5,TRY
418,2024-02-13,8012,2003,104,3,1.5,TRY
419,2024-02-13,8025,2006,101,3,0.75,TRY
420,2024-02-13,8010,3003,109,5,5.0,AED
421,2024-02-13,8056,3001,105,6,3.0,TRY
422,2024-02-13,8028,4004,108,4,2.4,TRY
423,2024-02-13,8043,2002,112,6,1.5,TRY
424,2024-02-13,8032,4001,112,10,15.0,TRY
425,2024-02-13,8025,2003,101,10,5.0,TRY
426,2024-02-13,8020,4002,106,8,24.0,TRY
427,2024-02-14,8031,3001,102,10,5.0,TRY
428,2024-02-14,8013,2001,108,8,2.0,EUR
429,2024-02-14,8057,2003,112,3,1.5,TRY
430,2024-02-14,8024,3003,111,3,3.0,TRY
431,2024-02-14,8049,2002,111,7,1.75,TRY
432,2024-02-14,8030,2001,103,7,1.75,TRY
433,2024-02-14,8027,2005,105,3,3.0,TRY
434,2024-02-14,8051,4004,101,9,5.4,TRY
435,2024-02-14,8014,2001,105,9,2.25,TRY
436,2024-02-14,8006,4003,102,10,8.0,TRY
437,2024-02-14,8048,3001,105,6,3.0,TRY
438,2024-02-14,8040,2007,105,4,1.0,TRY
439,2024-02-14,8032,4004,112,10,6.0,TRY
440,2024-02-15,8039,2005,111,6,6.0,TRY
441,2024-02-15,8055,2005,112,9,9.0,TRY
442,2024-02-15,8028,2007,106,5,1.25,TRY
443,2024-02-15,8045,2001,105,10,2.5,TRY
444,2024-02-15,8020,3001,106,3,1.5,TRY
445,2024-02-15,8039,4005,111,8,2.4,TRY
446,2024-02-15,8045,2003,105,10,5.0,TRY
447,2024-02-15,8027,2007,105,10,2.5,TRY
448,2024-02-15,8049,2006,102,1,0.25,TRY
449,2024-02-15,8021,4005,112,1,0.3,TRY
450,2024-02-16,8053,4003,104,10,8.0,TRY
451,2024-02-16,8029,4001,106,3,4.5,TRY
452,2024-02-16,8037,2007,102,10,2.5,TRY
453,2024-02-16,8060,4002,104,7,21.0,TRY
454,2024-02-16,8055,2004,103,7,1.75,TRY
455,2024-02-16,8025,4001,111,3,4.5,TRY
456,2024-02-17,8032,2007,112,8,2.0,TRY
457,2024-02-17,8054,4004,110,1,0.6,USD
458,2024-02-17,8054,3002,110,4,4.0,USD
459,2024-02-17,8013,3002,108,3,3.0,EUR
460,2024-02-17,8031,2003,101,3,1.5,TRY
461,2024-02-17,8021,4001,103,5,7.5,TRY
462,2024-02-17,8019,2001,103,4,1.0,TRY
463,2024-02-17,8034,3003,105,7,7.0,TRY
464,2024-02-17,8005,2004,112,9,2.25,TRY
465,2024-02-17,8020,3003,106,1,1.0,TRY
466,2024-02-17,8046,2004,108,9,2.25,EUR
467,2024-02-17,8037,4002,102,7,21.0,TRY
468,2024-02-17,8058,4001,106,10,15.0,TRY
469,2024-02-18,8010,2004,109,2,0.5,AED
470,2024-02-18,8024,2001,111,7,1.75,TRY
471,2024-02-18,8049,4002,101,8,24.0,TRY
472,2024-02-18,8059,2002,104,5,1.25,TRY
473,2024-02-18,8059,2004,107,7,1.75,TRY
474,2024-02-18,8036,2001,101,3,0.75,TRY
475,2024-02-18,8040,3002,105,2,2.0,TRY
476,2024-02-18,8052,4004,111,5,3.0,TRY
477,2024-02-18,8019,2003,103,7,3.5,TRY
478,2024-02-18,8056,2001,105,8,2.0,TRY
479,2024-02-18,8047,4003,103,6,4.8,TRY
480,2024-02-18,8033,4003,106,9,7.2,TRY
481,2024-02-18,8047,2004,112,3,0.75,TRY
482,2024-02-19,8015,3003,110,3,3.0,TRY
483,2024-02-19,8016,2002,105,8,2.0,TRY
484,2024-02-19,8022,2005,112,9,9.0,TRY
485,2024-02-19,8033,4005,106,9,2.7,TRY
486,2024-02-19,8045,2006,105,10,2.5,TRY
487,2024-02-19,8054,3001,110,3,1.5,USD
488,2024-02-19,8017,2004,111,1,0.25,TRY
489,2024-02-19,8052,2005,102,5,5.0,TRY
490,2024-02-19,8035,3001,112,5,2.5,TRY
491,2024-02-19,8018,2006,106,6,1.5,TRY
492,2024-02-19,8016,4001,105,4,6.0,TRY
493,2024-02-19,8015,2001,111,3,0.75,TRY
494,2024-02-19,8018,2004,106,7,1.75,TRY
495,2024-02-19,8034,4004,105,1,0.6,TRY
496,2024-02-20,8021,3002,112,3,3.0,TRY
497,2024-02-20,8015,4005,110,6,1.8,TRY
498,2024-02-20,8030,2004,112,9,2.25,TRY
499,2024-02-20,8049,2004,101,4,1.0,TRY
500,2024-02-20,8055,4003,112,2,1.6,TRY
501,2024-02-20,8052,3003,111,6,6.0,TRY
502,2024-02-20,8035,2001,112,9,2.25,TRY
503,2024-02-20,8059,3003,106,7,7.0,TRY
504,2024-02-20,8014,2006,105,2,0.5,TRY
505,2024-02-21,8028,2002,110,6,1.5,TRY
506,2024-02-21,8039,4001,101,10,15.0,TRY
507,2024-02-21,8041,2003,105,3,1.5,TRY
508,2024-02-21,8017,4005,101,4,1.2,TRY
509,2024-02-21,8018,2007,106,7,1.75,TRY
510,2024-02-21,8024,2002,101,8,2.0,TRY
511,2024-02-21,8019,3001,112,7,3.5,TRY
512,2024-02-21,8010,4003,109,9,7.2,AED
513,2024-02-22,8017,4003,102,7,5.6,TRY
514,2024-02-22,8035,2002,103,8,2.0,TRY
515,2024-02-22,8051,3001,101,1,0.5,TRY
516,2024-02-22,8050,3002,111,3,3.0,TRY
517,2024-02-22,8022,3003,112,3,3.0,TRY
