Tarih,SorumluID,UrunID,Hedef_Adet,Hedef_KG,Hedef_Net_Satis,Hedef_EBIT
2024-01-05,101,2001,11,2.75,5467.17,2092.93
2024-01-05,101,3003,2,2.0,1039.38,360.93
2024-01-05,102,2002,11,2.75,5318.26,1816.29
2024-01-05,103,4002,9,27.0,23680.39,4175.12
2024-01-05,103,4005,5,1.5,12712.56,3969.56
2024-01-05,105,4002,6,18.0,15609.74,2489.82
2024-01-05,106,2002,5,1.25,2757.5,929.19
2024-01-05,106,3001,8,4.0,3842.63,1323.51
2024-01-05,108,2006,8,2.0,4063.3,997.55
2024-01-05,108,4004,6,3.6,15666.29,4236.11
2024-01-05,109,2006,2,0.5,1076.53,241.57
2024-01-06,101,2006,6,1.5,3025.35,991.43
2024-01-06,101,4004,1,0.6,2719.35,893.47
2024-01-06,104,2003,2,1.0,1084.88,400.4
2024-01-06,105,2006,4,1.0,2068.29,761.57
2024-01-06,105,4001,2,3.0,5420.06,1803.67
2024-01-06,105,4003,7,5.6,19026.82,6418.09
2024-01-06,105,4005,6,1.8,15371.86,4218.34
2024-01-06,106,2007,7,1.75,3623.1,1403.52
2024-01-06,109,4004,7,4.2,18075.45,4902.94
2024-01-07,101,4001,1,1.5,2540.85,1005.61
2024-01-07,102,3003,8,8.0,4317.33,1628.42
2024-01-07,103,4003,2,1.6,5357.53,1695.34
2024-01-07,104,3003,8,8.0,4278.01,1673.33
2024-01-07,105,2007,6,1.5,3249.66,1014.1
2024-01-07,112,4004,12,7.2,29337.28,10541.28
2024-01-08,102,2005,5,5.0,2717.12,906.04
2024-01-08,103,4001,4,6.0,10697.94,3716.87
2024-01-08,105,3003,9,9.0,4587.51,1649.08
2024-01-08,105,4002,6,18.0,16078.95,2361.88
2024-01-08,105,4003,6,4.8,16001.38,5607.81
2024-01-09,102,2006,11,2.75,5435.78,1879.24
2024-01-09,103,4002,4,12.0,10449.37,1517.62
2024-01-09,104,2002,1,0.25,525.2,163.73
2024-01-09,105,3001,10,5.0,4917.8,1715.86
2024-01-09,106,2006,9,2.25,4594.16,1675.47
2024-01-09,106,4003,1,0.8,2661.77,975.14
2024-01-09,109,2001,1,0.25,530.65,145.74
2024-01-09,109,2004,5,1.25,2531.41,739.97
2024-01-09,109,4004,11,6.6,27523.63,9223.08
2024-01-09,111,4005,6,1.8,16245.76,5425.6
2024-01-10,104,2006,3,0.75,1571.18,512.76
2024-01-10,104,2007,8,2.0,4314.82,1678.05
2024-01-10,104,3002,3,3.0,1654.18,602.34
2024-01-10,106,2004,9,2.25,4763.31,1661.06
2024-01-10,106,2006,8,2.0,4044.77,1362.7
2024-01-10,107,2006,1,0.25,548.64,193.41
2024-01-10,107,4003,3,2.4,8109.44,3012.36
2024-01-10,109,3002,18,18.0,8830.88,2400.38
2024-01-10,111,3003,11,11.0,5334.49,1759.11
2024-01-10,112,2006,3,0.75,1637.23,625.83
2024-01-11,103,3003,10,10.0,5090.47,1621.42
2024-01-11,104,3001,8,4.0,4229.9,1436.42
2024-01-11,104,4004,7,4.2,18237.86,6305.77
2024-01-11,105,4001,3,4.5,7836.15,2741.32
2024-01-11,112,4001,7,10.5,18392.99,7028.65
2024-01-12,101,2005,9,9.0,4749.83,1805.73
2024-01-12,102,4001,9,13.5,22915.68,8390.42
2024-01-12,102,4003,5,4.0,13280.02,4274.44
2024-01-12,104,2005,5,5.0,2758.2,997.36
2024-01-12,104,4003,2,1.6,5343.68,1740.91
2024-01-12,105,2005,10,10.0,4858.99,1695.2
2024-01-12,105,2007,2,0.5,1040.98,358.95
2024-01-12,105,4004,6,3.6,15163.97,5257.61
2024-01-12,108,4004,9,5.4,21872.27,5656.06
2024-01-12,111,2004,4,1.0,2049.66,739.88
2024-01-12,111,4001,4,6.0,10188.96,3629.62
2024-01-13,102,4005,6,1.8,16016.85,4960.89
2024-01-13,103,4001,9,13.5,23776.28,8750.77
2024-01-13,103,4002,4,12.0,10247.44,1238.79
2024-01-13,104,2004,5,1.25,2641.89,915.96
2024-01-13,105,3003,3,3.0,1527.95,512.38
2024-01-13,105,4003,6,4.8,16534.53,6537.09
2024-01-13,106,2001,5,1.25,2652.35,973.23
2024-01-13,106,3001,2,1.0,1083.17,366.98
2024-01-13,106,4001,8,12.0,21536.04,7374.67
2024-01-13,112,2007,4,1.0,2149.79,849.68
2024-01-14,102,3001,8,4.0,4077.93,1383.41
2024-01-14,102,3003,9,9.0,4589.18,1414.84
2024-01-14,104,2002,4,1.0,2113.14,681.24
2024-01-14,104,4003,10,8.0,25250.0,8853.79
2024-01-14,108,4002,4,12.0,10847.08,700.79
2024-01-14,109,2002,9,2.25,4633.23,1234.53
2024-01-14,109,2005,2,2.0,1095.53,313.82
2024-01-14,110,4005,5,1.5,13705.88,3159.15
2024-01-14,112,4005,5,1.5,12926.91,4240.03
2024-01-15,104,3001,4,2.0,2115.12,723.81
2024-01-15,109,2001,7,1.75,3561.34,1290.7
2024-01-15,109,2003,10,5.0,5049.09,1551.86
2024-01-15,109,4002,7,21.0,18222.25,990.6
2024-01-15,112,2001,1,0.25,546.28,210.36
2024-01-16,101,4003,1,0.8,2562.58,818.64
2024-01-16,102,2001,5,1.25,2724.48,894.23
2024-01-16,102,2002,3,0.75,1629.69,569.9
2024-01-16,103,2002,5,1.25,2568.48,926.57
2024-01-16,103,4003,1,0.8,2520.47,793.21
2024-01-16,104,2004,1,0.25,534.85,184.24
2024-01-16,104,3002,9,9.0,4668.11,1638.87
2024-01-16,104,4003,6,4.8,16375.63,5336.44
2024-01-16,105,2001,5,1.25,2747.75,848.96
2024-01-16,105,3002,3,3.0,1654.46,623.31
2024-01-16,109,2005,5,5.0,2744.14,664.84
2024-01-16,109,4005,12,3.6,30686.38,7385.82
2024-01-16,111,3003,2,2.0,1063.19,360.82
2024-01-17,101,2007,2,0.5,1055.75,373.57
2024-01-17,101,4001,2,3.0,5173.75,1720.65
2024-01-17,102,2004,1,0.25,506.33,176.01
2024-01-17,104,4001,3,4.5,8099.34,2658.06
2024-01-17,105,4003,5,4.0,12616.88,4068.86
2024-01-17,106,2005,11,11.0,5433.41,1766.51
2024-01-17,106,4005,4,1.2,10541.04,3160.82
2024-01-17,108,2003,4,2.0,2189.48,619.58
2024-01-17,110,2007,4,1.0,2101.68,521.73
2024-01-17,111,4003,8,6.4,21274.9,7651.52
2024-01-17,112,4001,9,13.5,23647.19,7623.45
2024-01-18,103,4001,2,3.0,5287.3,1725.65
2024-01-18,105,4004,2,1.2,5293.96,1808.13
2024-01-18,109,3002,10,10.0,5146.09,1270.29
2024-01-18,109,4004,7,4.2,18817.77,5658.25
2024-01-18,111,2001,14,3.5,6861.03,2533.33
2024-01-19,103,2002,5,1.25,2653.88,874.08
2024-01-19,103,2004,8,2.0,4043.83,1339.7
2024-01-19,103,4005,5,1.5,13798.54,4469.92
2024-01-19,104,2001,3,0.75,1513.24,480.84
2024-01-19,105,2004,3,0.75,1592.3,534.82
2024-01-19,108,2004,5,1.25,2648.22,731.23
2024-01-19,108,2007,14,3.5,6787.67,1657.23
2024-01-19,109,2004,11,2.75,5497.34,1572.76
2024-01-19,109,4001,14,21.0,33912.66,9483.84
2024-01-19,110,2001,10,2.5,5109.25,1241.77
2024-01-19,111,2005,3,3.0,1568.19,520.11
2024-01-20,101,4003,10,8.0,25353.61,8703.3
2024-01-20,102,2001,6,1.5,3031.36,1055.03
2024-01-20,105,2002,10,2.5,5163.97,1984.75
2024-01-20,105,2007,3,0.75,1529.3,501.76
2024-01-20,105,3003,3,3.0,1558.49,501.53
2024-01-20,105,4001,7,10.5,18159.78,6359.06
2024-01-20,105,4004,4,2.4,10305.82,3694.93
2024-01-20,105,4005,3,0.9,7695.21,2460.04
2024-01-20,106,4004,3,1.8,7736.43,2825.39
2024-01-20,107,4001,5,7.5,13281.95,4538.11
2024-01-20,108,4005,6,1.8,16400.83,3286.31
2024-01-20,109,3003,5,5.0,2694.05,654.74
2024-01-20,109,4002,2,6.0,5393.14,335.81
2024-01-20,111,2004,6,1.5,3146.35,1208.98
2024-01-20,112,2001,5,1.25,2706.33,985.67
2024-01-21,101,4003,6,4.8,15564.05,5116.33
2024-01-21,102,4005,6,1.8,16114.0,4698.09
2024-01-21,103,2004,6,1.5,3109.59,1161.99
2024-01-21,103,4002,1,3.0,2662.81,278.88
2024-01-21,104,3001,6,3.0,3082.5,1091.27
2024-01-21,104,4003,11,8.8,27412.15,10214.46
2024-01-21,105,3001,6,3.0,3234.42,1153.71
2024-01-21,105,4003,13,10.4,32676.7,11485.8
2024-01-21,106,2006,10,2.5,4894.76,1732.98
2024-01-21,112,4005,1,0.3,2671.57,727.38
2024-01-22,101,3003,10,10.0,5184.8,1786.4
2024-01-22,103,3001,11,5.5,5479.87,1889.14
2024-01-22,108,4001,2,3.0,5506.6,1527.08
2024-01-22,112,2007,6,1.5,3299.75,1105.22
2024-01-23,102,4004,1,0.6,2730.23,852.5
2024-01-23,103,2001,4,1.0,2181.45,697.02
2024-01-23,104,2006,10,2.5,5277.25,1731.3
2024-01-23,104,3001,6,3.0,3035.38,1160.66
2024-01-23,104,4002,3,9.0,8083.04,1166.69
2024-01-23,105,2003,11,5.5,5432.92,1855.64
2024-01-23,106,4001,8,12.0,20420.01,6417.97
2024-01-24,101,2006,11,2.75,5482.32,1778.48
2024-01-24,101,4001,8,12.0,21139.21,6485.51
2024-01-24,102,3003,6,6.0,3027.7,1066.73
2024-01-24,105,2003,6,3.0,3206.28,1117.5
2024-01-24,106,2001,4,1.0,2145.22,775.89
2024-01-24,109,3001,6,3.0,3241.98,1198.0
2024-01-24,109,4003,9,7.2,23301.67,5404.47
2024-01-24,111,2002,2,0.5,1060.08,381.79
2024-01-24,112,2002,7,1.75,3547.3,1215.05
2024-01-25,101,2005,5,5.0,2585.0,947.73
2024-01-25,101,4004,4,2.4,10244.41,3680.3
2024-01-25,102,4002,4,12.0,10655.8,1222.05
2024-01-25,105,3002,7,7.0,3655.16,1345.0
2024-01-25,105,4001,4,6.0,10607.58,3896.77
2024-01-25,108,3002,2,2.0,1027.55,281.46
2024-01-25,110,3001,2,1.0,1090.91,267.47
2024-01-25,111,2003,5,2.5,2756.82,969.31
2024-01-25,111,3003,4,4.0,2181.92,814.45
2024-01-26,102,2004,7,1.75,3554.96,1178.21
2024-01-26,103,3002,1,1.0,509.22,184.42
2024-01-26,103,4001,10,15.0,26340.53,9313.07
2024-01-26,104,4004,10,6.0,24348.14,9176.6
2024-01-26,105,2005,8,8.0,4210.52,1414.18
2024-01-26,105,3002,9,9.0,4796.43,1625.55
2024-01-26,105,4001,10,15.0,25723.46,8504.57
2024-01-26,105,4004,10,6.0,24296.15,9078.62
2024-01-26,106,4004,4,2.4,10623.87,3722.43
2024-01-26,108,4001,7,10.5,19099.21,5483.6
2024-01-26,112,2003,1,0.5,524.44,173.06
2024-01-27,102,4001,2,3.0,5238.42,1707.56
2024-01-27,104,3001,1,0.5,531.65,175.2
2024-01-27,105,2007,9,2.25,4745.4,1748.34
2024-01-27,105,3003,10,10.0,5093.63,1632.95
2024-01-27,106,3002,6,6.0,3248.15,1270.69
2024-01-27,109,2005,3,3.0,1611.03,436.72
2024-01-27,112,4003,9,7.2,22036.7,8074.75
2024-01-28,102,2001,6,1.5,3150.75,1062.31
2024-01-28,104,4001,10,15.0,24155.08,8606.16
2024-01-28,105,2007,8,2.0,4234.92,1474.46
2024-01-28,106,4003,5,4.0,13250.33,4508.5
2024-01-28,109,4003,3,2.4,7567.79,1865.03
2024-01-28,109,4004,5,3.0,13426.77,3837.89
2024-01-28,110,2002,7,1.75,3746.39,1286.57
2024-01-28,112,2007,5,1.25,2550.22,828.03
2024-01-28,112,3001,2,1.0,1046.39,335.18
2024-01-29,103,4004,1,0.6,2607.4,895.45
2024-01-29,104,2004,4,1.0,2134.65,755.91
2024-01-29,104,2005,3,3.0,1573.29,578.26
2024-01-29,104,4002,5,15.0,13350.05,1903.87
2024-01-29,105,2001,3,0.75,1568.73,555.5
2024-01-29,105,2003,6,3.0,3141.1,1186.53
2024-01-29,105,2007,8,2.0,4278.42,1523.95
2024-01-29,105,4003,16,12.8,38853.39,13860.02
2024-01-29,107,2004,4,1.0,2044.91,723.61
2024-01-29,107,4005,9,2.7,23361.48,6914.47
2024-01-29,109,2007,9,2.25,4414.05,1359.16
2024-01-29,111,2007,6,1.5,3145.8,1053.86
2024-01-29,112,2004,9,2.25,4692.56,1595.56
2024-01-30,101,2004,2,0.5,1069.43,385.76
2024-01-30,102,2001,8,2.0,3858.9,1353.81
2024-01-30,104,4004,10,6.0,24306.37,8801.18
2024-01-30,105,2006,8,2.0,4206.41,1316.69
2024-01-30,105,2007,8,2.0,4177.11,1601.81
2024-01-30,105,4002,11,33.0,27803.41,4318.3
2024-01-30,106,4001,1,1.5,2565.17,960.74
2024-01-30,109,3003,3,3.0,1598.27,434.49
2024-01-30,110,2007,2,0.5,1041.24,371.05
2024-01-30,111,3002,8,8.0,4134.84,1473.25
2024-01-30,111,4001,6,9.0,16242.22,6360.15
2024-01-31,101,2005,4,4.0,2045.43,772.79
2024-01-31,101,3003,8,8.0,4178.29,1454.2
2024-01-31,101,4004,9,5.4,21757.26,7041.25
2024-01-31,105,2007,8,2.0,4059.18,1383.39
2024-01-31,105,4001,1,1.5,2718.21,976.43
2024-01-31,105,4003,11,8.8,26729.74,9482.0
2024-01-31,106,2005,6,6.0,3083.7,1191.89
2024-01-31,108,3002,2,2.0,1067.19,305.62
2024-01-31,110,4002,5,15.0,13581.01,700.7
2024-01-31,111,4004,10,6.0,25818.35,9312.95
2024-01-31,112,4003,10,8.0,25240.73,8444.74
2024-02-01,101,2006,3,0.75,1550.63,528.84
2024-02-01,104,2003,19,9.5,9294.88,3114.36
2024-02-01,104,2005,9,9.0,4745.94,1739.19
2024-02-01,106,2001,4,1.0,2168.91,750.54
2024-02-01,106,2003,4,2.0,2019.03,696.56
2024-02-01,106,4002,10,30.0,24373.8,4607.14
2024-02-01,108,3001,3,1.5,1581.59,498.53
2024-02-01,108,3002,1,1.0,541.83,146.08
2024-02-01,110,4001,11,16.5,27275.41,8404.68
2024-02-01,111,4005,3,0.9,8211.52,2164.01
2024-02-01,112,2005,2,2.0,1069.51,387.06
2024-02-02,101,4003,7,5.6,18585.26,6761.83
2024-02-02,101,4004,10,6.0,24451.26,7569.29
2024-02-02,102,2001,3,0.75,1570.93,532.24
2024-02-02,102,2004,8,2.0,4041.59,1267.93
2024-02-02,102,3002,3,3.0,1559.79,507.44
2024-02-02,104,2004,8,2.0,3841.49,1421.55
2024-02-02,104,2007,5,1.25,2631.08,941.22
2024-02-02,105,3002,6,6.0,3155.56,1055.24
2024-02-02,106,2005,1,1.0,531.29,199.77
2024-02-02,109,2007,7,1.75,3838.71,1052.66
2024-02-02,111,4001,1,1.5,2668.84,907.23
2024-02-02,112,3003,1,1.0,519.62,189.5
2024-02-03,101,3003,6,6.0,3277.77,1138.23
2024-02-03,103,2003,4,2.0,2176.99,717.6
2024-02-03,104,4001,3,4.5,7896.43,2817.83
2024-02-03,104,4005,2,0.6,5149.56,1561.51
2024-02-03,105,4002,6,18.0,16135.82,2523.65
2024-02-03,106,4005,1,0.3,2547.9,761.48
2024-02-03,107,2002,6,1.5,3152.5,1041.71
2024-02-03,109,3002,5,5.0,2744.86,702.1
2024-02-03,111,3003,5,5.0,2724.23,929.97
2024-02-03,112,2001,5,1.25,2611.5,907.76
2024-02-04,101,2001,3,0.75,1621.48,529.4
2024-02-04,101,3001,7,3.5,3646.45,1212.45
2024-02-04,102,2002,1,0.25,524.12,179.35
2024-02-04,102,3003,16,16.0,7680.94,2792.24
2024-02-04,103,2003,6,3.0,3123.33,1031.61
2024-02-04,104,3002,3,3.0,1604.38,582.0
2024-02-04,105,2003,2,1.0,1090.36,357.01
2024-02-04,105,4001,9,13.5,23193.3,8078.36
2024-02-04,106,4004,8,4.8,20839.78,6993.06
2024-02-04,109,4001,17,25.5,41247.54,11022.16
2024-02-04,110,2007,5,1.25,2602.95,947.06
2024-02-04,111,2001,5,1.25,2706.9,963.93
2024-02-04,111,2005,1,1.0,527.37,204.17
2024-02-05,103,2003,4,2.0,2032.68,725.91
2024-02-05,106,2001,7,1.75,3591.67,1208.79
2024-02-05,108,2006,10,2.5,4898.29,1826.51
2024-02-05,112,2004,3,0.75,1580.03,565.45
2024-02-05,112,2007,10,2.5,4915.9,1708.49
2024-02-06,103,4005,6,1.8,15715.87,4356.75
2024-02-06,106,2003,10,5.0,5052.19,1776.11
2024-02-06,106,2007,11,2.75,5411.53,1887.32
2024-02-06,106,3001,3,1.5,1635.64,556.44
2024-02-06,108,2006,6,1.5,3200.97,772.48
2024-02-06,109,4001,11,16.5,27567.46,7490.7
2024-02-06,112,3001,9,4.5,4604.88,1655.05
2024-02-07,101,3001,5,2.5,2529.14,864.43
2024-02-07,102,4003,3,2.4,7900.8,2890.43
2024-02-07,104,2003,4,2.0,2086.88,660.81
2024-02-07,104,4004,8,4.8,20410.67,7946.74
2024-02-07,105,2007,10,2.5,4944.37,1760.71
2024-02-07,105,3002,6,6.0,3184.54,1027.91
2024-02-07,105,4002,9,27.0,23425.72,3098.33
2024-02-07,112,2004,10,2.5,5108.96,1712.58
2024-02-08,102,2001,7,1.75,3541.8,1157.83
2024-02-08,103,2002,5,1.25,2652.59,983.87
2024-02-08,103,2004,10,2.5,5069.78,1714.34
2024-02-08,103,3002,9,9.0,4716.8,1595.45
2024-02-08,104,2001,6,1.5,3088.89,1080.61
2024-02-08,105,2001,3,0.75,1610.49,533.73
2024-02-08,105,4002,3,9.0,8198.98,1412.35
2024-02-08,105,4004,2,1.2,5508.84,1945.54
2024-02-08,106,4002,3,9.0,7984.5,1108.34
2024-02-08,109,2005,3,3.0,1641.95,405.93
2024-02-08,110,4001,2,3.0,5492.63,1961.34
2024-02-08,111,2003,6,3.0,3198.67,1073.94
2024-02-08,111,4002,10,30.0,24408.95,4345.03
2024-02-08,112,4003,4,3.2,11011.23,4169.86
2024-02-09,104,2001,3,0.75,1552.66,487.96
2024-02-09,104,3001,6,3.0,3065.86,1038.6
2024-02-09,105,3003,3,3.0,1638.08,651.24
2024-02-09,109,2003,9,4.5,4350.28,1072.82
2024-02-09,111,2002,6,1.5,3042.59,1003.71
2024-02-10,102,4001,1,1.5,2601.78,933.51
2024-02-10,103,3002,17,17.0,8230.83,2937.22
2024-02-10,105,2001,12,3.0,6082.46,2179.09
2024-02-10,105,2006,6,1.5,3291.54,1181.95
2024-02-10,105,4001,5,7.5,13549.01,4704.01
2024-02-10,105,4003,8,6.4,20661.45,6833.63
2024-02-10,108,2001,11,2.75,5353.98,1544.05
2024-02-10,108,2002,7,1.75,3689.39,1003.31
2024-02-10,109,4001,10,15.0,24774.23,7338.01
2024-02-10,112,4001,11,16.5,26917.27,9147.92
2024-02-10,112,4003,11,8.8,26807.06,8682.75
2024-02-11,101,2005,1,1.0,508.59,177.53
2024-02-11,102,2004,8,2.0,4291.33,1564.11
2024-02-11,105,2002,8,2.0,4286.61,1589.48
2024-02-11,109,2002,7,1.75,3628.47,852.38
2024-02-11,112,2005,3,3.0,1551.37,545.85
2024-02-12,101,2003,9,4.5,4775.96,1788.22
2024-02-12,104,3002,7,7.0,3603.86,1263.42
2024-02-12,104,4002,3,9.0,8229.76,1473.44
2024-02-12,104,4004,7,4.2,19094.89,6988.5
2024-02-12,105,4003,7,5.6,18880.59,7004.92
2024-02-12,106,3001,3,1.5,1575.64,539.18
2024-02-12,106,4004,4,2.4,10408.06,3664.18
2024-02-12,112,3001,5,2.5,2711.31,992.76
2024-02-13,101,2003,10,5.0,5085.0,1920.79
2024-02-13,101,2006,3,0.75,1646.11,544.9
2024-02-13,104,2003,3,1.5,1589.33,537.56
2024-02-13,105,2004,2,0.5,1087.17,392.22
2024-02-13,105,3001,6,3.0,3294.5,1135.07
2024-02-13,106,4002,8,24.0,21163.32,3497.43
2024-02-13,108,4004,4,2.4,10531.8,3550.23
2024-02-13,109,3003,5,5.0,2544.61,793.79
2024-02-13,112,2002,6,1.5,3279.07,1232.46
2024-02-13,112,4001,10,15.0,26147.53,9878.43
2024-02-14,101,4004,10,6.0,24669.64,7895.06
2024-02-14,102,3001,11,5.5,5352.77,1868.9
2024-02-14,102,4003,10,8.0,25252.8,9381.35
2024-02-14,103,2001,7,1.75,3712.39,1282.23
2024-02-14,105,2001,9,2.25,4668.23,1764.71
2024-02-14,105,2005,3,3.0,1517.25,481.64
2024-02-14,105,2007,4,1.0,2167.13,826.76
2024-02-14,105,3001,6,3.0,3085.29,1090.46
2024-02-14,108,2001,8,2.0,4274.15,1227.56
2024-02-14,111,2002,7,1.75,3633.91,1169.86
2024-02-14,111,3003,3,3.0,1617.68,590.93
2024-02-14,112,2003,3,1.5,1520.13,534.16
2024-02-14,112,4004,11,6.6,26844.71,9106.99
2024-02-15,102,2006,1,0.25,510.87,178.37
2024-02-15,105,2001,11,2.75,5309.56,1781.94
2024-02-15,105,2003,10,5.0,5234.08,1784.19
2024-02-15,105,2007,10,2.5,5080.6,1616.41
2024-02-15,106,2007,5,1.25,2546.01,951.83
2024-02-15,106,3001,3,1.5,1581.85,543.77
2024-02-15,111,2005,6,6.0,3169.76,1064.53
2024-02-15,111,4005,8,2.4,20607.51,6200.11
2024-02-15,112,2005,9,9.0,4651.27,1618.87
2024-02-15,112,4005,1,0.3,2640.83,785.03
2024-02-16,102,2007,11,2.75,5497.56,1882.23
2024-02-16,103,2004,7,1.75,3748.16,1229.53
2024-02-16,104,4002,7,21.0,18415.44,2508.27
2024-02-16,104,4003,11,8.8,26749.79,8772.87
2024-02-16,106,4001,3,4.5,7886.03,2699.94
2024-02-16,111,4001,3,4.5,8098.44,2506.68
2024-02-17,101,2003,3,1.5,1604.65,540.17
2024-02-17,102,4002,7,21.0,18389.04,2534.05
2024-02-17,103,2001,4,1.0,2163.4,741.83
2024-02-17,103,4001,5,7.5,12923.9,4080.0
2024-02-17,105,3003,7,7.0,3594.8,1168.2
2024-02-17,106,3003,1,1.0,543.6,186.58
2024-02-17,106,4001,10,15.0,25737.16,8891.78
2024-02-17,108,2004,10,2.5,4950.96,1258.33
2024-02-17,108,3002,3,3.0,1592.17,463.95
2024-02-17,110,3002,4,4.0,2146.95,543.69
2024-02-17,110,4004,1,0.6,2749.58,833.6
2024-02-17,112,2004,9,2.25,4572.89,1610.42
2024-02-17,112,2007,8,2.0,4230.06,1308.34
2024-02-18,101,2001,3,0.75,1596.14,530.79
2024-02-18,101,4002,9,27.0,21716.44,3668.34
2024-02-18,103,2003,7,3.5,3677.38,1399.37
2024-02-18,103,4003,6,4.8,15824.77,4940.76
2024-02-18,104,2002,5,1.25,2737.12,999.91
2024-02-18,105,2001,8,2.0,4196.29,1365.17
2024-02-18,105,3002,2,2.0,1098.44,378.1
2024-02-18,106,4003,9,7.2,22825.76,7539.37
2024-02-18,107,2004,7,1.75,3634.7,1354.32
2024-02-18,109,2004,2,0.5,1058.82,268.85
2024-02-18,111,2001,8,2.0,3853.63,1329.0
2024-02-18,111,4004,5,3.0,13787.32,4686.23
2024-02-18,112,2004,3,0.75,1613.38,549.72
2024-02-19,102,2005,5,5.0,2642.48,1007.99
2024-02-19,105,2002,9,2.25,4377.0,1534.27
2024-02-19,105,2006,11,2.75,5480.84,2035.86
2024-02-19,105,4001,4,6.0,10084.28,3578.93
2024-02-19,105,4004,1,0.6,2741.01,1015.65
2024-02-19,106,2004,7,1.75,3548.28,1230.54
2024-02-19,106,2006,6,1.5,3038.59,1060.02
2024-02-19,106,4005,9,2.7,22755.95,5801.1
2024-02-19,110,3001,3,1.5,1571.25,442.01
2024-02-19,110,3003,3,3.0,1564.27,543.7
2024-02-19,111,2001,3,0.75,1575.82,566.65
2024-02-19,111,2004,1,0.25,526.31,196.98
2024-02-19,112,2005,10,10.0,4848.97,1635.99
2024-02-19,112,3001,5,2.5,2662.51,892.25
2024-02-20,101,2004,4,1.0,2049.06,720.05
2024-02-20,105,2006,2,0.5,1100.23,400.61
2024-02-20,106,3003,7,7.0,3754.09,1147.07
2024-02-20,110,4005,6,1.8,15472.57,5237.49
2024-02-20,111,3003,6,6.0,3116.76,999.6
2024-02-20,112,2001,10,2.5,4842.98,1756.44
2024-02-20,112,2004,9,2.25,4694.31,1660.48
2024-02-20,112,3002,3,3.0,1552.74,515.95
2024-02-20,112,4003,2,1.6,5135.0,1730.35
2024-02-21,101,2002,9,2.25,4333.76,1493.75
2024-02-21,101,4001,11,16.5,27064.65,9245.18
2024-02-21,101,4005,4,1.2,10202.96,2940.65
2024-02-21,105,2003,3,1.5,1642.21,527.48
2024-02-21,106,2007,7,1.75,3753.82,1418.39
2024-02-21,109,4003,10,8.0,24343.5,5995.3
2024-02-21,110,2002,6,1.5,3106.95,981.86
2024-02-21,112,3001,8,4.0,3843.52,1381.87
2024-02-22,101,3001,1,0.5,547.65,195.28
2024-02-22,102,4003,7,5.6,19183.71,7555.45
2024-02-22,103,2002,8,2.0,4056.4,1472.15
2024-02-22,111,3002,3,3.0,1580.76,554.46
2024-02-22,112,3003,3,3.0,1570.39,585.19
2024-02-23,103,3003,10,10.0,5158.67,1904.73
2024-02-23,103,4002,8,24.0,21030.19,2746.97
2024-02-23,104,2001,10,2.5,5097.48,1746.83
2024-02-23,105,3002,8,8.0,4298.4,1474.59
2024-02-23,105,4005,8,2.4,20552.94,5716.43
2024-02-23,106,4002,8,24.0,21066.95,2808.51
2024-02-23,106,4004,11,6.6,26731.77,9957.88
2024-02-23,108,2007,1,0.25,534.25,134.72
